Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
6,Walker Kessler,24,C,5,5,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4,5.8,0.69,0.784,2.8,4,0.7,4.6,6.2,10.8,3,1.4,1.8,3.2,4.4,14.4,NA
7,Ace Bailey,19,SF,70,59,27.6,5.4,12.2,0.444,1.9,5.5,0.348,3.5,6.7,0.521,0.522,0.9,1.2,0.767,1.4,2.7,4.1,1.8,0.8,0.7,1.4,2.7,13.6,NA
8,Jusuf Nurkić,31,C,41,36,26.4,4.4,8.7,0.503,0.6,1.7,0.352,3.8,7,0.54,0.538,1.5,2.8,0.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9,NA
9,Isaiah Collier,21,PG,59,19,25.7,4.3,8.7,0.495,0.5,1.7,0.27,3.9,7,0.549,0.521,2.6,3.5,0.722,0.4,2.2,2.5,7.2,1.1,0.3,2.5,2.3,11.7,NA
10,John Konchar,29,SG,24,7,25.7,2.1,4.8,0.44,0.6,2.3,0.255,1.5,2.5,0.607,0.5,0.9,1.2,0.759,2.1,3.3,5.4,2.8,1.8,0.9,0.7,1.8,5.8,NA
11,Jaren Jackson Jr.,26,C,3,3,24,8,16.3,0.49,1.7,5,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4,4.3,2.7,2,0.3,2.3,3,22.3,NA
12,Cody Williams,21,SG,65,39,24,3.5,7.4,0.475,0.4,1.9,0.211,3.1,5.5,0.566,0.502,1.2,1.7,0.708,0.9,2,3,1.9,0.8,0.4,1.1,1.8,8.6,NA
13,Brice Sensabaugh,22,SF,74,22,23.6,5.3,11.4,0.46,2.1,5.9,0.366,3.1,5.6,0.559,0.554,2.2,2.6,0.831,0.8,2.3,3.1,1.9,0.7,0.2,1.6,1.9,14.9,NA
14,Kyle Filipowski,22,C,77,41,23.4,4.2,8.5,0.492,1,3,0.325,3.2,5.6,0.58,0.548,2.1,2.8,0.75,1.9,5.3,7.2,2.6,0.9,0.5,1.6,3,11.4,NA
15,Svi Mykhailiuk,28,SF,50,41,23.1,3.5,7.2,0.478,2,4.8,0.408,1.5,2.4,0.615,0.613,0.5,0.6,0.893,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,9.4,NA
16,Elijah Harkless,25,SG,26,9,21,2.1,6.2,0.335,0.8,3.4,0.239,1.3,2.8,0.452,0.401,1.9,2.5,0.766,0.4,1.7,2,2.9,1.2,0.2,1,2,6.8,NA
17,Kyle Anderson,32,SF,20,0,20.1,2.9,5.5,0.523,0.2,0.3,0.6,2.7,5.2,0.519,0.537,1.3,1.9,0.658,1,2.4,3.3,3.1,1.2,0.5,0.9,2.3,7.1,NA
18,Mo Bamba,27,C,2,0,19,2.5,4.5,0.556,0,0,NA,2.5,4.5,0.556,0.556,0,0,NA,4.5,5.5,10,0.5,0,1,1,2,5,NA
19,Blake Hinson,26,SF,12,1,18.8,3.6,7,0.512,2.6,5.2,0.5,1,1.8,0.545,0.696,0.8,1.2,0.714,0.7,1.4,2.1,1,0.2,0.2,0.3,1.8,10.6,NA
20,Walter Clayton,22,PG,45,0,18,2.3,5.7,0.398,1,3.2,0.308,1.3,2.5,0.513,0.484,1.3,1.4,0.935,0.3,1.6,2,3.2,0.5,0.3,1.3,1.7,6.8,NA
21,Kevin Love,37,PF,37,5,16.6,2.1,5.4,0.397,1.4,3.8,0.373,0.7,1.5,0.456,0.53,1,1.2,0.841,1.5,4.3,5.8,1.8,0.4,0.2,0.8,1.5,6.7,NA
22,Oscar Tshiebwe,26,C,25,4,15.5,2.9,4.7,0.624,0,0,NA,2.9,4.7,0.624,0.624,0.8,1.5,0.541,2.6,3,5.6,1,0.6,0.1,0.7,1.4,6.6,NA
23,Taylor Hendricks,22,PF,33,6,14.9,1.8,3.9,0.453,0.7,2.1,0.343,1,1.8,0.586,0.547,0.7,1,0.719,0.9,2.1,3,0.7,0.4,0.2,0.6,1.2,4.9,NA
24,Vince Williams Jr.,25,SG,6,0,14,1.7,4.7,0.357,1,3,0.333,0.7,1.7,0.4,0.464,0.3,0.7,0.5,0.8,2.3,3.2,2.7,0.3,0.3,1.2,1.5,4.7,NA
NA,Team Totals,NA,,80,80,241.9,42.3,90.8,0.466,12.7,36.7,0.345,29.7,54.1,0.548,0.536,20,25.3,0.79,11.9,31.7,43.6,29.5,8.8,3.8,15.5,21.4,117.4,NA
